corpus,sentence_id,n_switches,mean_span_len,median_span_len,sentence_len,register,topic
Miami,1233.0,6,2.6666666666666665,2.0,10.0,Informal conversation between Paola and her grandmother at a friend's house,ProperNouns_NamedEntities
Miami,1249.0,4,3.0,3.0,8.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1256.0,14,3.5714285714285716,2.0,29.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1268.0,2,3.0,3.0,5.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1272.0,4,1.5,1.5,6.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1274.0,2,1.0,1.0,6.0,Informal conversation between Paola and her grandmother at a friend's house,Education_YouthOrganizations
Miami,1277.0,2,1.0,1.0,5.0,Informal conversation between Paola and her grandmother at a friend's house,ProperNouns_NamedEntities
Miami,1294.0,3,3.0,3.0,5.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1317.0,6,1.0,1.0,5.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1340.0,4,1.5,1.5,11.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1346.0,4,2.5,2.5,12.0,Informal conversation between Paola and her grandmother at a friend's house,Narratives_Quotations
Miami,1347.0,6,3.0,2.0,15.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1348.0,4,1.5,1.5,8.0,Informal conversation between Paola and her grandmother at a friend's house,Narratives_Quotations
Miami,1359.0,2,1.0,1.0,4.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1361.0,6,5.0,1.0,17.0,Informal conversation between Paola and her grandmother at a friend's house,Narratives_Quotations
Miami,1370.0,2,10.0,10.0,12.0,Informal conversation between Paola and her grandmother at a friend's house,Narratives_Quotations
Miami,1380.0,4,3.5,3.5,16.0,Informal conversation between Paola and her grandmother at a friend's house,Narratives_Quotations
Miami,1399.0,6,2.6666666666666665,1.0,14.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1405.0,4,1.5,1.5,7.0,Informal conversation between Paola and her grandmother at a friend's house,Architecture_Design
Miami,1408.0,8,4.75,4.0,22.0,Informal conversation between Paola and her grandmother at a friend's house,Narratives_Quotations
Miami,1409.0,4,1.5,1.5,7.0,Informal conversation between Paola and her grandmother at a friend's house,Architecture_Design
Miami,1428.0,2,4.0,4.0,6.0,Informal conversation between Paola and her grandmother at a friend's house,Affect_Identity
Miami,1448.0,4,1.5,1.5,5.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1450.0,4,3.5,3.5,15.0,Informal conversation between Paola and her grandmother at a friend's house,Narratives_Quotations
Miami,1481.0,2,1.0,1.0,3.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1520.0,4,2.0,2.0,15.0,Informal conversation between Paola and her grandmother at a friend's house,Narratives_Quotations
Miami,1522.0,4,3.0,3.0,12.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1524.0,4,3.0,3.0,9.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1526.0,2,1.0,1.0,7.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1544.0,2,1.0,1.0,5.0,Informal conversation between Paola and her grandmother at a friend's house,Affect_Identity
Miami,1548.0,2,9.0,9.0,12.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1562.0,4,6.5,6.5,15.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1577.0,4,3.5,3.5,15.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1595.0,2,1.0,1.0,7.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1599.0,2,4.0,4.0,5.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1602.0,2,7.0,7.0,9.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1603.0,2,5.0,5.0,7.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1611.0,4,3.5,3.5,11.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1622.0,2,1.0,1.0,4.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1630.0,4,2.0,2.0,10.0,Informal conversation between Paola and her grandmother at a friend's house,Narratives_Quotations
Miami,1631.0,4,3.5,3.5,10.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1635.0,2,3.0,3.0,7.0,Informal conversation between Paola and her grandmother at a friend's house,ProperNouns_NamedEntities
Miami,1642.0,4,1.0,1.0,8.0,Informal conversation between Paola and her grandmother at a friend's house,Narratives_Quotations
Miami,1648.0,8,3.5,1.0,18.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1652.0,6,3.0,1.0,22.0,Informal conversation between Paola and her grandmother at a friend's house,Narratives_Quotations
Miami,1669.0,10,4.4,4.0,24.0,Informal conversation between Paola and her grandmother at a friend's house,Narratives_Quotations
Miami,1687.0,4,1.5,1.5,6.0,Informal conversation between Paola and her grandmother at a friend's house,ProperNouns_NamedEntities
Miami,1708.0,6,1.6666666666666667,1.0,7.0,Informal conversation between Paola and her grandmother at a friend's house,ProperNouns_NamedEntities
Miami,1709.0,2,7.0,7.0,9.0,Informal conversation between Paola and her grandmother at a friend's house,ProperNouns_NamedEntities
Miami,1722.0,2,1.0,1.0,12.0,Informal conversation between Paola and her grandmother at a friend's house,ProperNouns_NamedEntities
Miami,1754.0,4,4.0,4.0,11.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1756.0,2,3.0,3.0,6.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1762.0,10,2.6,3.0,15.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1775.0,2,11.0,11.0,13.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1779.0,4,6.5,6.5,15.0,Informal conversation between Paola and her grandmother at a friend's house,Narratives_Quotations
Miami,1781.0,4,3.0,3.0,13.0,Informal conversation between Paola and her grandmother at a friend's house,Narratives_Quotations
Miami,1784.0,4,4.5,4.5,12.0,Informal conversation between Paola and her grandmother at a friend's house,Narratives_Quotations
Miami,1786.0,2,4.0,4.0,6.0,Informal conversation between Paola and her grandmother at a friend's house,Education_YouthOrganizations
Miami,1868.0,2,2.0,2.0,7.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,1888.0,2,1.0,1.0,3.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,1951.0,2,1.0,1.0,10.0,"MAR is in a house with some of her relatives, at a family reunion.",Office_Logistics
Miami,1954.0,2,2.0,2.0,14.0,"MAR is in a house with some of her relatives, at a family reunion.",Narratives_Quotations
Miami,1955.0,12,2.8333333333333335,3.0,19.0,"MAR is in a house with some of her relatives, at a family reunion.",ProperNouns_NamedEntities
Miami,1959.0,2,1.0,1.0,5.0,"MAR is in a house with some of her relatives, at a family reunion.",Narratives_Quotations
Miami,1984.0,4,8.5,8.5,29.0,"MAR is in a house with some of her relatives, at a family reunion.",Narratives_Quotations
Miami,1994.0,2,5.0,5.0,13.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2000.0,2,1.0,1.0,5.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2006.0,4,5.5,5.5,16.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2009.0,2,6.0,6.0,9.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2013.0,4,2.0,2.0,6.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2050.0,2,3.0,3.0,5.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2054.0,3,3.0,3.0,4.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2059.0,2,5.0,5.0,10.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2077.0,4,1.5,1.5,8.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2080.0,4,1.0,1.0,6.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2120.0,2,6.0,6.0,8.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2149.0,2,2.0,2.0,9.0,"MAR is in a house with some of her relatives, at a family reunion.",Workplace_Technical
Miami,2180.0,2,1.0,1.0,6.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2202.0,2,4.0,4.0,6.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2214.0,4,1.5,1.5,5.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2226.0,4,4.0,4.0,11.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2265.0,4,1.0,1.0,12.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2297.0,2,2.0,2.0,16.0,"MAR is in a house with some of her relatives, at a family reunion.",Workplace_Technical
Miami,2300.0,2,8.0,8.0,11.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2308.0,2,5.0,5.0,7.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2368.0,2,2.0,2.0,4.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2372.0,2,4.0,4.0,7.0,"MAR is in a house with some of her relatives, at a family reunion.",Narratives_Quotations
Miami,2382.0,2,2.0,2.0,5.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2400.0,2,1.0,1.0,11.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2402.0,2,2.0,2.0,7.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2414.0,6,2.0,1.0,8.0,"MAR is in a house with some of her relatives, at a family reunion.",ProperNouns_NamedEntities
Miami,2449.0,2,1.0,1.0,9.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2451.0,2,1.0,1.0,12.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2541.0,2,2.0,2.0,9.0,"MAR is in a house with some of her relatives, at a family reunion.",Narratives_Quotations
Miami,2576.0,2,1.0,1.0,4.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2606.0,2,3.0,3.0,8.0,"MAR is in a house with some of her relatives, at a family reunion.",Narratives_Quotations
Miami,2666.0,2,2.0,2.0,5.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2680.0,4,2.5,2.5,7.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2682.0,12,1.8333333333333333,1.0,18.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2683.0,10,3.0,1.0,34.0,"MAR is in a house with some of her relatives, at a family reunion.",Narratives_Quotations
Miami,2685.0,4,4.5,4.5,13.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2834.0,4,5.5,5.5,16.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2837.0,4,2.5,2.5,8.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2845.0,4,6.5,6.5,17.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2849.0,8,5.5,3.0,29.0,"MAR is in a house with some of her relatives, at a family reunion.",Workplace_Technical
Miami,2872.0,6,1.0,1.0,5.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2881.0,2,4.0,4.0,6.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2900.0,4,2.0,2.0,6.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2919.0,2,4.0,4.0,6.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2966.0,2,11.0,11.0,14.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2985.0,2,2.0,2.0,19.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2989.0,2,6.0,6.0,8.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,2990.0,2,1.0,1.0,3.0,"MAR is in a house with some of her relatives, at a family reunion.",Affect_Identity
Miami,3026.0,2,1.0,1.0,4.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3036.0,2,1.0,1.0,5.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3052.0,6,3.0,3.0,11.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3068.0,2,3.0,3.0,5.0,"MAR is in a house with some of her relatives, at a family reunion.",Affect_Identity
Miami,3094.0,2,1.0,1.0,4.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3141.0,4,2.0,2.0,7.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3143.0,2,1.0,1.0,5.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3149.0,2,4.0,4.0,18.0,"MAR is in a house with some of her relatives, at a family reunion.",Narratives_Quotations
Miami,3154.0,4,1.0,1.0,5.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3157.0,2,2.0,2.0,7.0,"MAR is in a house with some of her relatives, at a family reunion.",Narratives_Quotations
Miami,3188.0,2,1.0,1.0,10.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3194.0,2,1.0,1.0,8.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3250.0,4,1.0,1.0,4.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3301.0,2,3.0,3.0,10.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3333.0,4,2.0,2.0,7.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3349.0,2,4.0,4.0,6.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3355.0,2,1.0,1.0,7.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3357.0,2,4.0,4.0,5.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3359.0,2,1.0,1.0,4.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3374.0,6,1.0,1.0,5.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3380.0,4,1.0,1.0,4.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3411.0,2,1.0,1.0,6.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3427.0,2,1.0,1.0,4.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3429.0,2,1.0,1.0,4.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3439.0,2,3.0,3.0,5.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3480.0,2,1.0,1.0,5.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3562.0,2,2.0,2.0,8.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3639.0,2,1.0,1.0,3.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3671.0,2,1.0,1.0,6.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3685.0,2,1.0,1.0,7.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3709.0,2,4.0,4.0,6.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3749.0,2,1.0,1.0,4.0,"MAR is in a house with some of her relatives, at a family reunion.",ProperNouns_NamedEntities
Miami,3758.0,2,2.0,2.0,4.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3772.0,2,1.0,1.0,6.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3774.0,4,3.5,3.5,14.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3776.0,2,3.0,3.0,5.0,"MAR is in a house with some of her relatives, at a family reunion.",Affect_Identity
Miami,3779.0,2,1.0,1.0,6.0,"MAR is in a house with some of her relatives, at a family reunion.",Affect_Identity
Miami,3803.0,2,1.0,1.0,4.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3818.0,2,1.0,1.0,5.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,3836.0,2,1.0,1.0,4.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,4002.0,2,1.0,1.0,10.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,4008.0,2,6.0,6.0,8.0,"MAR is in a house with some of her relatives, at a family reunion.",Affect_Identity
Miami,4053.0,4,1.5,1.5,8.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,4062.0,2,1.0,1.0,6.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,4111.0,2,2.0,2.0,5.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,4157.0,4,2.0,2.0,7.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,4186.0,2,1.0,1.0,8.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,4237.0,2,1.0,1.0,11.0,"MAR is in a house with some of her relatives, at a family reunion.",Casual_EverydayTalk
Miami,4304.0,2,3.0,3.0,5.0,MAR is in her office talking to colleague.,Casual_EverydayTalk
Miami,4315.0,2,2.0,2.0,5.0,MAR is in her office talking to colleague.,ProperNouns_NamedEntities
Miami,4317.0,2,1.0,1.0,4.0,MAR is in her office talking to colleague.,Office_Logistics
Miami,4321.0,2,1.0,1.0,8.0,MAR is in her office talking to colleague.,Office_Logistics
Miami,4322.0,2,6.0,6.0,8.0,MAR is in her office talking to colleague.,Casual_EverydayTalk
Miami,4401.0,2,7.0,7.0,17.0,MAR is in her office talking to colleague.,Narratives_Quotations
Miami,4432.0,2,2.0,2.0,13.0,MAR is in her office talking to colleague.,Office_Logistics
Miami,4552.0,2,4.0,4.0,11.0,MAR is in her office talking to colleague.,Narratives_Quotations
Miami,4766.0,4,2.5,2.5,10.0,MAR is in her office talking to colleague.,Office_Logistics
Miami,4785.0,2,3.0,3.0,7.0,MAR is in her office talking to colleague.,Casual_EverydayTalk
Miami,4798.0,2,5.0,5.0,7.0,MAR is in her office talking to colleague.,Office_Logistics
